number,output
1,1
2,2
3,Aho
4,4
5,5
6,Aho
7,7
8,8
9,Aho
10,10
11,11
12,Aho
13,Aho
14,14
15,Aho
16,16
17,17
18,Aho
19,19
20,20
21,Aho
22,22
23,Aho
24,Aho
25,25
26,26
27,Aho
28,28
29,29
30,Aho
31,Aho
32,Aho
33,Aho
34,Aho
35,Aho
36,Aho
37,Aho
38,Aho
39,Aho
40,40
41,41
42,Aho
43,Aho
44,44
45,Aho
46,46
47,47
48,Aho
49,49
50,50
51,Aho
52,52
53,Aho
54,Aho
55,55
56,56
57,Aho
58,58
59,59
60,Aho
61,61
62,62
63,Aho
64,64
65,65
66,Aho
67,67
68,68
69,Aho
70,70
71,71
72,Aho
73,Aho
74,74
75,Aho
76,76
77,77
78,Aho
79,79
80,80
81,Aho
82,82
83,Aho
84,Aho
85,85
86,86
87,Aho
88,88
89,89
90,Aho
91,91
92,92
93,Aho
94,94
95,95
96,Aho
97,97
98,98
99,Aho
100,100
101,101
102,Aho
103,Aho
104,104
105,Aho
106,106
107,107
108,Aho
109,109
110,110
111,Aho
112,112
113,Aho
114,Aho
115,115
116,116
117,Aho
118,118
119,119
120,Aho
121,121
122,122
123,Aho
124,124
125,125
126,Aho
127,127
128,128
129,Aho
130,Aho
131,Aho
132,Aho
133,Aho
134,Aho
135,Aho
136,Aho
137,Aho
138,Aho
139,Aho
140,140
141,Aho
142,142
143,Aho
144,Aho
145,145
146,146
147,Aho
148,148
149,149
150,Aho
151,151
152,152
153,Aho
154,154
155,155
156,Aho
157,157
158,158
159,Aho
160,160
161,161
162,Aho
163,Aho
164,164
165,Aho
166,166
167,167
168,Aho
169,169
170,170
171,Aho
172,172
173,Aho
174,Aho
175,175
176,176
177,Aho
178,178
179,179
180,Aho
181,181
182,182
183,Aho
184,184
185,185
186,Aho
187,187
188,188
189,Aho
190,190
191,191
192,Aho
193,Aho
194,194
195,Aho
196,196
197,197
198,Aho
199,199
200,200
201,Aho
202,202
203,Aho
204,Aho
205,205
206,206
207,Aho
208,208
209,209
210,Aho
211,211
212,212
213,Aho
214,214
215,215
216,Aho
217,217
218,218
219,Aho
220,220
221,221
222,Aho
223,Aho
224,224
225,Aho
226,226
227,227
228,Aho
229,229
230,Aho
231,Aho
232,Aho
233,Aho
234,Aho
235,Aho
236,Aho
237,Aho
238,Aho
239,Aho
240,Aho
241,241
242,242
243,Aho
244,244
245,245
246,Aho
247,247
248,248
249,Aho
250,250
251,251
252,Aho
253,Aho
254,254
255,Aho
256,256
257,257
258,Aho
259,259
260,260
261,Aho
262,262
263,Aho
264,Aho
265,265
266,266
267,Aho
268,268
269,269
270,Aho
271,271
272,272
273,Aho
274,274
275,275
276,Aho
277,277
278,278
279,Aho
280,280
281,281
282,Aho
283,Aho
284,284
285,Aho
286,286
287,287
288,Aho
289,289
290,290
291,Aho
292,292
293,Aho
294,Aho
295,295
296,296
297,Aho
298,298
299,299
300,Aho
301,Aho
302,Aho
303,Aho
304,Aho
305,Aho
306,Aho
307,Aho
308,Aho
309,Aho
310,Aho
311,Aho
312,Aho
313,Aho
314,Aho
315,Aho
316,Aho
317,Aho
318,Aho
319,Aho
320,Aho
321,Aho
322,Aho
323,Aho
324,Aho
325,Aho
326,Aho
327,Aho
328,Aho
329,Aho
330,Aho
331,Aho
332,Aho
333,Aho
334,Aho
335,Aho
336,Aho
337,Aho
338,Aho
339,Aho
340,Aho
341,Aho
342,Aho
343,Aho
344,Aho
345,Aho
346,Aho
347,Aho
348,Aho
349,Aho
350,Aho
351,Aho
352,Aho
353,Aho
354,Aho
355,Aho
356,Aho
357,Aho
358,Aho
359,Aho
360,Aho
361,Aho
362,Aho
363,Aho
364,Aho
365,Aho
366,Aho
367,Aho
368,Aho
369,Aho
370,Aho
371,Aho
372,Aho
373,Aho
374,Aho
375,Aho
376,Aho
377,Aho
378,Aho
379,Aho
380,Aho
381,Aho
382,Aho
383,Aho
384,Aho
385,Aho
386,Aho
387,Aho
388,Aho
389,Aho
390,Aho
391,Aho
392,Aho
393,Aho
394,Aho
395,Aho
396,Aho
397,Aho
398,Aho
399,Aho
400,400
401,401
402,Aho
403,Aho
404,404
405,Aho
406,406
407,407
408,Aho
409,409
410,410
411,Aho
412,412
413,Aho
414,Aho
415,415
416,416
417,Aho
418,418
419,419
420,Aho
421,421
422,422
423,Aho
424,424
425,425
426,Aho
427,427
428,428
429,Aho
430,Aho
431,Aho
432,Aho
433,Aho
434,Aho
435,Aho
436,Aho
